"Game_Number","Result","Color","Moves"
21,"1-0","White","1. d4 d5 2. c4 dxc4 3. e3 Nc6 4. Bxc4 a6 5. Qf3 Bd7 6. Qxf7#"
22,"1-0","White","1. d4 d5 2. c4 dxc4 3. e3 Nc6 4. Bxc4 Be6 5. b3 Nf6 6. Nf3 Bd5 7. O-O e6 8. a3 a6 9. Nbd2 b5 10. Bd3 Qd6 11. g3 Be7 12. Ng5 h6 13. Nde4 Qd7 14. Nxf6+ gxf6 15. Nh7 Rxh7 16. Bxh7 f5 17. e4 fxe4 18. Bxh6 Bf6 19. Qg4 O-O-O 20. a4 bxa4 21. Rxa4 Bxd4 22. Bxe4 Bxb3 23. Rxa6 Bc4 24. Bxc6 Qd6 25. Ra8#"
23,"0-1","Black","1. e4 d5 2. Nc3 e6 3. Nb5 Bc5 4. d4 Bb6 5. c4 Ba5+ 6. Bd2 b6 7. Qa4 Bd7 8. cxd5 a6 9. Bxa5 axb5 10. Bxb5 Rxa5 11. Bxd7+ Nxd7 12. Qd1 exd5 13. Qg4 Qf6 14. e5 Nxe5 15. Qc8+ Ke7 16. Qxc7+ Nd7 17. b4 Qxd4 18. Rd1 Qxb4+ 19. Ke2 Rxa2+ 20. Kf1 Nf6 21. Ne2 Rha8 22. g3 Ra1 23. Rxa1 Rxa1+ 24. Kg2 Qe4+ 25. f3 Qxe2+ 26. Kh3 Rxh1 27. Qf4 Qxh2#"
24,"1-0","White","1. d4 d5 2. c4 dxc4 3. e3 e6 4. Bxc4 Bb4+ 5. Nc3 Bxc3+ 6. bxc3 a6 7. Qf3 c6 8. Nh3 b5 9. Bd3 Bb7 10. Ng5 Nf6 11. Bxh7 Qe7 12. Be4 a5 13. a4 Ra7 14. Ba3 Qd8 15. Nxe6 fxe6 16. Bg6+ Kd7 17. Bc5 Ra6 18. axb5 Ra8 19. c4 Qc7 20. b6 Qc8 21. Qf4 Kd8 22. Bd6 Ne8 23. Qg5+ Kd7 24. Qe7#"
25,"1-0","White","1. d4 e6 2. e4 Qf6 3. e5 Qg6 4. g3 Nh6 5. Bd3 Nf5 6. Nc3 Bb4 7. Bd2 O-O 8. Nh3 h6 9. Nf4 Qf6 10. exf6 gxf6 11. Ne4 Be7 12. Qg4+ Ng7 13. Nh5 f5 14. Qxg7#"
26,"0-1","Black","1. e4 d5 2. Nc3 d4 3. Nd5 e6 4. Nf4 Nf6 5. f3 Bd6 6. Nd3 O-O 7. e5 Nd5 8. exd6 Qxd6 9. g3 e5 10. c3 Bf5 11. cxd4 exd4 12. Be2 Re8 13. Qc2 Nb4 14. Qc4 Nxd3+ 15. Kf1 Ne5 16. Qb3 d3 17. Bd1 b6 18. f4 Be4 19. fxe5 Qxe5 20. Bf3 Bxf3 21. Nxf3 Qe2+ 22. Kg1 Qxf3 23. Qxd3 Re1+ 24. Qf1 Qxf1#"
27,"0-1","Black","1. e4 d5 2. h3 dxe4 3. Bc4 e6 4. d3 Bc5 5. g3 Qf6 6. Bf4 Qxb2 7. Nd2 e5 8. Rb1 Qd4 9. Be3 Qd6 10. Bxc5 Qxc5 11. Rb5 Qe7 12. Nxe4 c6 13. Rc5 Nd7 14. Ra5 Ngf6 15. f3 b6 16. Ra4 b5 17. Nxf6+ Nxf6 18. Ra5 bxc4 19. dxc4 Qb4+ 20. Qd2 Qxc4 21. Rxe5+ Be6 22. Ne2 Rd8 23. Qc3 O-O 24. O-O Ne4 25. Qxc4 Bxc4 26. Rxe4 Bxe2 27. Rxe2 a5 28. a4 Rd4 29. Ra1 Rfd8 30. Kf1 c5 31. c3 Rd3 32. Ke1 Rxc3 33. Rd1 Rf8 34. f4 Rxg3 35. Kf2 Rxh3 36. Kg2 Rh6 37. Rh1 Rg6+ 38. Kf3 c4 39. Rc2 Rc8 40. Rd1 h5 41. Rdc1 Rgc6 42. Kg3 c3 43. Kh4 g6 44. f5 Rc4+ 45. Kg5 R8c5 46. Rf1 Kg7 47. Rcf2 Rg4#"
28,"0-1","Black","1. e4 d5 2. Nc3 Nf6 3. d3 Bg4 4. Be2 e5 5. Bg5 Bc5 6. Nxd5 Na6 7. Nxf6+ gxf6 8. Bxf6 Qxf6 9. f3 O-O-O 10. Qd2 Bd4 11. c3 Bb6 12. h3 Qh4+ 13. Kd1 Qf2 14. fxg4 Qxg2 15. Bf3 Qxd2+ 16. Kxd2 Nc5 17. Bg2 Nxd3 18. Kc2 Nf2 19. Rh2 c5 20. c4 Rd4 21. Nf3 Rxe4 22. Nd2 Re2 23. Bf3 Rxd2+ 24. Kxd2 Ba5+ 25. Ke2 Nd3 26. Kxd3 Rd8+ 27. Ke4 Rd4+ 28. Kxe5 Bc7+ 29. Kf6 Bxh2 30. b3 Rf4+ 31. Ke7 Rxf3 32. Rd1 Bc7 33. Rd5 f6 34. Rxc5 h5 35. gxh5 f5 36. h6 f4 37. h7 Rxh3 38. Kf7 Rxh7+ 39. Kg8 Rd7 40. Rf5 Bd6 41. b4 Rd8+ 42. Kf7 Rf8+ 43. Ke6 Rxf5 44. Kxf5 f3 45. Ke4 f2 46. c5 Bc7 47. a4 f1=Q 48. b5 Qf4+ 49. Kd3 Qe5 50. c6 bxc6 51. bxc6 a5 52. Kc4 Bb6 53. Kd3 Qd4+ 54. Kc2 Qxa4+ 55. Kd2 Qxc6 56. Kd3 a4 57. Ke2 a3 58. Kd3 a2 59. Kd2 a1=Q 60. Ke2 Qcf6 61. Kd2 Qac3+ 62. Ke2 Qff3#"
29,"1-0","White","1. d4 d5 2. e4 dxe4 3. Bc4 c6 4. Nf3 Bg4 5. Ne5 Bxd1 6. Bxf7#"
30,"0-1","Black","1. e3 e5 2. Qg4 d5 3. e4 Nf6 4. Qf3 dxe4 5. Qb3 Nd5 6. Bc4 Qf6 7. Bxd5 Be6 8. Qxb7 Bc5 9. f3 O-O 10. Qxa8 Bxd5 11. Qxd5 Bb6 12. Qxe4 Na6 13. b3 c5 14. Nc3 Bd8 15. Ba3 Be7 16. O-O-O Nc7 17. Nd5 Nxd5 18. Qxd5 Rd8 19. Qe4 Rd4 20. Qa8+ Rd8 21. Qxa7 e4 22. Bxc5 Qa1#"
